# Logfile created on 2025-09-02 16:29:52 +0200 by logger.rb/v1.5.3
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_mask has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_filler has 3374 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_slit has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_text has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_noqrc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_res has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_iprobe has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : metal4_diffprb has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : heattrans_drw has 257 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : heatres_drw has 4 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : pempoly_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : fbe_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429640K) : empoly_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429900K) : ldmos_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429900K) : pbiwind_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429900K) : digisub_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429900K) : nodrc_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (429900K) : text_drw has 186 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : via4_drw has 21731 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_drw has 76 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_mask has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_filler has 3308 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_slit has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_text has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_noqrc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430692K) : metal5_res has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430956K) : metal5_iprobe has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430956K) : metal5_diffprb has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430956K) : radhard_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430956K) : memcap_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430956K) : varicap_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (430956K) : flash_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431220K) : intbondvia_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431220K) : intbondmet_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431220K) : devbondvia_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431220K) : devbondmet_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431220K) : devtrench_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431484K) : redist_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431484K) : graphbot_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431484K) : graphtop_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431484K) : antvia1_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431484K) : antmetal2_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431484K) : graphcont_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431748K) : siwg_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431772K) : siwg_filler has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431772K) : siwg_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431772K) : sigrating_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (431772K) : singrating_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432032K) : graphpas_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432032K) : emwind3_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432032K) : emwihv3_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432032K) : redbulay_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432032K) : smos_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432032K) : graphpad_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432296K) : polimide_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432296K) : polimide_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432296K) : recog_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432296K) : recog_pin has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432296K) : recog_esd has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432296K) : recog_diode has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432560K) : recog_tsv has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432560K) : recog_iprobe has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432560K) : recog_diffprb has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432560K) : recog_pillar has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432560K) : recog_sbump has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432560K) : recog_otp has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432824K) : recog_pdiode has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432824K) : recog_mom has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432824K) : recog_pcm has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432824K) : colopen_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (432824K) : graphmetal1_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmetal1_filler has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmetal1_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmetal1_slit has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmetal1_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmet1l_drw has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmet1l_filler has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmet1l_nofill has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmet1l_slit has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : graphmet1l_opc has 0 polygons
2025-09-02 16:29:52 +0200: Memory Usage (433088K) : extblock_drw has 12 polygons
